draw_date,winning_numbers,num1,num2,num3,num4,num5,num6
2019-06-19,14 23 24 50 56 58,14,23,24,50,56,58
2019-06-22,12 42 46 51 53 57,12,42,46,51,53,57
2019-06-26,06 15 25 28 36 49,6,15,25,28,36,49
2019-06-29,02 03 14 20 29 37,2,3,14,20,29,37
2019-07-03,27 31 37 48 49 54,27,31,37,48,49,54
2019-07-06,04 05 27 31 43 47,4,5,27,31,43,47
2019-07-10,04 08 24 26 38 43,4,8,24,26,38,43
2019-07-13,09 12 14 21 44 55,9,12,14,21,44,55
2019-07-17,04 07 19 34 36 59,4,7,19,34,36,59
2019-07-20,12 15 30 32 51 58,12,15,30,32,51,58
2019-07-24,14 21 22 27 44 48,14,21,22,27,44,48
2019-07-27,05 07 19 25 26 47,5,7,19,25,26,47
2019-07-31,02 07 20 23 26 47,2,7,20,23,26,47
2019-08-03,02 18 21 39 53 58,2,18,21,39,53,58
2019-08-07,03 12 27 40 48 57,3,12,27,40,48,57
2019-08-10,07 16 25 39 47 51,7,16,25,39,47,51
2019-08-14,01 02 33 38 48 55,1,2,33,38,48,55
2019-08-17,25 31 34 42 49 53,25,31,34,42,49,53
2019-08-21,08 11 34 41 50 54,8,11,34,41,50,54
2019-08-24,07 24 36 46 52 55,7,24,36,46,52,55
2019-08-28,01 05 06 07 16 48,1,5,6,7,16,48
2019-08-31,02 11 29 30 43 44,2,11,29,30,43,44
2019-09-04,08 20 37 51 53 59,8,20,37,51,53,59
2019-09-07,19 31 44 47 48 55,19,31,44,47,48,55
2019-09-11,02 09 10 35 58 59,2,9,10,35,58,59
2019-09-14,01 09 14 22 24 25,1,9,14,22,24,25
2019-09-18,08 18 21 23 29 56,8,18,21,23,29,56
2019-09-21,04 10 21 28 30 43,4,10,21,28,30,43
2019-09-25,07 24 27 38 55 58,7,24,27,38,55,58
2019-09-28,01 13 29 38 46 59,1,13,29,38,46,59
2019-10-02,03 17 21 23 27 43,3,17,21,23,27,43
2019-10-05,09 22 32 45 54 59,9,22,32,45,54,59
2019-10-09,08 14 18 26 33 38,8,14,18,26,33,38
2019-10-12,13 15 27 30 46 51,13,15,27,30,46,51
2019-10-16,02 07 09 11 40 54,2,7,9,11,40,54
2019-10-19,06 15 21 37 55 59,6,15,21,37,55,59
2019-10-23,07 10 12 40 49 58,7,10,12,40,49,58
